FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.367,4.6,0.301,0.429,0.729,0.8,3.5,4.8,1.3,0.4,10.2
0.412,4.1,0.377,0.481,0.862,0.3,1.6,0.5,0.5,0.1,7.3
0.415,4.3,0.336,0.473,0.831,0.9,4.8,5.5,1,0.4,11.6
0.39,2.4,0.4,0.37,0.724,0.1,1.6,1,0.2,0.1,4.4
0.401,2.7,0.285,0.516,0.821,0.2,1.7,1.3,0.5,0.2,5.5
0.423,2.6,0.352,0.506,0.841,0.4,2,1.1,0.3,0.3,5.4
0.409,1.4,0.238,0.503,0.765,0.3,1.4,1.4,0.8,0.2,4
0.429,5.6,0.381,0.467,0.86,0.4,2.8,1.6,0.8,0.2,14.7
0.374,2.8,0.319,0.427,0.889,0.1,1.7,0.9,0.3,0.1,6.3
0.429,0.8,0.377,0.448,0.67,0.5,1.9,0.9,0.7,0.3,3.9
0.4,1.7,0.352,0.439,0.875,0.5,2.6,0.5,0.6,0.2,4
0.414,2,0.333,0.612,0.9,0.3,0.8,0.3,0.4,0.2,3.1
0.421,7.2,0.317,0.516,0.816,0.6,3.9,2.7,1.1,0.2,17.5
0.523,1.4,0.465,0.544,0.781,1,3.2,3.9,0.7,0.2,7.2
0.435,3.6,0.403,0.49,0.792,0.1,1.9,1.3,0.6,0.4,6.9
0.434,1.5,0.412,0.452,0.695,0.7,1.9,0.9,0.5,0,4.3
0.403,5.8,0.4,0.419,0.875,0.2,1.6,0.6,0.3,0.1,8.9
0.377,3.6,0.362,0.393,0.714,0.3,2.3,1.4,0.3,0.1,7.2
0.477,5.8,0.371,0.528,0.799,0.6,5.2,4.3,2.4,0.8,23.1
0.407,7.5,0.392,0.479,0.859,0.3,2.8,1,0.7,0.1,11.2
0.431,3.5,0.402,0.456,0.746,0.5,1.6,1.9,0.5,0.1,9.3
0.452,5.2,0.37,0.51,0.805,0.9,5,4.1,1,0.6,15.7
0.426,4.4,0.373,0.477,0.796,0.3,3,2.5,0.8,0.1,10.2
,,,,,,,,,,
,3.663694268,,,,0.4875796178,,,,,
,1.805959353,,,,0.319152034,,,,,
,3.261489184,,,,0.1018580208,,,,,
