,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
221,Dewayne Dedmon\dedmode01,0.524,2.3,0.355,0.595,0.779,1.6,7.9,1.5,0.6,0.8,10.0,84
223,Dirk Nowitzki\nowitdi01,0.456,4.4,0.409,0.494,0.898,0.3,5.7,1.6,0.6,0.6,12.0,84
224,Domantas Sabonis\sabondo01,0.514,0.5,0.35100000000000003,0.524,0.75,2.2,7.7,2.0,0.5,0.4,11.6,83
225,Dwight Howard\howardw01,0.555,0.1,0.14300000000000002,0.5589999999999999,0.574,3.1,12.5,1.3,0.6,1.6,16.6,83
226,Dwight Powell\poweldw01,0.593,1.1,0.33299999999999996,0.6559999999999999,0.7190000000000001,1.7,5.6,1.2,0.8,0.4,8.5,83
227,Ed Davis\davised01,0.5820000000000001,0.0,0.0,0.584,0.667,2.3,7.4,0.5,0.4,0.7,5.3,82
228,Ekpe Udoh\udohek01,0.5,0.0,0.0,0.504,0.75,1.1,2.4,0.8,0.7,1.2,2.6,82
229,Enes Kanter\kanteen01,0.5920000000000001,0.0,0.0,0.594,0.848,3.8,11.0,1.5,0.5,0.5,14.1,83
230,Gorgui Dieng\dienggo01,0.479,0.8,0.311,0.511,0.775,1.3,4.6,0.9,0.6,0.5,5.9,83
232,Hassan Whiteside\whiteha01,0.54,0.0,1.0,0.5379999999999999,0.703,3.2,11.4,1.0,0.7,1.7,14.0,84
233,Ian Mahinmi\mahinia01,0.556,0.0,0.0,0.561,0.703,1.8,4.1,0.7,0.5,0.5,4.8,83
234,Jakob Poeltl\poeltja01,0.659,0.0,0.5,0.66,0.594,2.0,4.8,0.7,0.5,1.2,6.9,84
235,Jarrett Allen\allenja01,0.589,0.2,0.33299999999999996,0.599,0.7759999999999999,2.0,5.4,0.7,0.4,1.2,8.2,83
236,Joel Embiid\embiijo01,0.483,3.4,0.308,0.527,0.769,2.3,11.0,3.2,0.6,1.8,22.9,84
237,John Henson\hensojo01,0.5720000000000001,0.1,0.14300000000000002,0.578,0.57,2.0,6.8,1.5,0.6,1.4,8.8,83
238,Jonas Valanciunas\valanjo01,0.568,1.0,0.405,0.5870000000000001,0.8059999999999999,2.4,8.6,1.1,0.4,0.9,12.7,84
239,Jordan Bell\belljo01,0.627,0.1,0.0,0.6409999999999999,0.682,1.1,3.6,1.8,0.6,1.0,4.6,81
240,Julius Randle\randlju01,0.5579999999999999,0.5,0.222,0.575,0.718,2.2,8.0,2.6,0.5,0.5,16.1,81
241,Jusuf Nurkic\nurkiju01,0.505,0.1,0.0,0.508,0.63,2.4,9.0,1.8,0.8,1.4,14.3,84
242,Karl-Anthony Towns\townska01,0.545,3.5,0.42100000000000004,0.585,0.858,2.9,12.3,2.4,0.8,1.4,21.3,84
243,Kevin Love\loveke01,0.45799999999999996,5.6,0.415,0.494,0.88,1.7,9.3,1.7,0.7,0.4,17.6,82
244,Kevon Looney\looneke01,0.58,0.1,0.2,0.59,0.545,1.3,3.3,0.6,0.5,0.8,4.0,81
247,Kyle O'Quinn\oquinky01,0.583,0.2,0.235,0.599,0.772,1.6,6.1,2.1,0.5,1.3,7.1,82
248,LaMarcus Aldridge\aldrila01,0.51,1.2,0.293,0.526,0.8370000000000001,3.3,8.5,2.0,0.6,1.2,23.1,83
249,Larry Nance\nancela02,0.581,0.2,0.16699999999999998,0.594,0.664,2.4,6.8,1.2,1.3,0.6,8.7,81
250,Marc Gasol\gasolma01,0.42,4.4,0.341,0.456,0.8340000000000001,1.1,8.1,4.2,0.7,1.4,17.2,85
252,Marreese Speights\speigma01,0.395,4.5,0.369,0.44799999999999995,0.727,0.4,2.6,0.8,0.2,0.4,7.7,82
253,Mason Plumlee\plumlma01,0.601,0.0,0.0,0.602,0.45799999999999996,1.8,5.4,1.9,0.7,1.1,7.1,83
254,Mike Muscala\muscami01,0.45799999999999996,3.2,0.371,0.5589999999999999,0.919,1.1,4.3,1.0,0.6,0.5,7.6,83
256,Montrezl Harrell\harremo01,0.635,0.1,0.14300000000000002,0.6409999999999999,0.626,1.4,4.0,1.0,0.5,0.7,11.0,80
257,Myles Turner\turnemy01,0.479,2.4,0.35700000000000004,0.519,0.777,1.4,6.4,1.3,0.6,1.8,12.7,83
258,Nene Hilario\hilarne01,0.569,0.0,0.0,0.574,0.636,1.0,3.4,0.9,0.5,0.3,6.5,83
259,Nerlens Noel\noelne01,0.524,0.0,0.0,0.529,0.75,1.6,5.6,0.7,1.0,0.7,4.4,83
260,Nikola Jokic\jokicni01,0.499,3.7,0.396,0.5379999999999999,0.85,2.6,10.7,6.1,1.2,0.8,18.5,84
261,Nikola Vucevic\vucevni01,0.475,3.6,0.314,0.527,0.8190000000000001,1.8,9.2,3.4,1.0,1.1,16.5,84
262,Pau Gasol\gasolpa01,0.45799999999999996,1.6,0.358,0.48100000000000004,0.7559999999999999,1.7,8.0,3.1,0.3,1.0,10.1,84
