FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.454,3.7,0.301,0.562,0.775,1.1,7.6,7.3,1.4,1.3,11
0.541,0,,0.541,0.379,1.2,4.1,1.2,0.5,0.8,2.1
0.452,3.7,0.36,0.517,0.778,1.7,5.9,1.3,0.9,0.4,10.9
0.429,3.5,0.38,0.459,0.799,0.6,3.6,1.6,0.5,0.2,11.1
0.529,1.9,0.307,0.554,0.76,2.1,10,4.8,1.5,1.4,26.9
0.445,4.3,0.357,0.478,0.827,1,6.1,2,0.6,0.2,18.9
0.566,0,,0.566,0.806,1.5,4.4,0.9,0.3,0.4,5.6
0.482,2.6,0.383,0.514,0.741,1.4,4.9,1.9,0.8,0.3,12.6
0.503,2.5,0.308,0.587,0.698,0.8,4.9,3.8,1,0.7,10.8
0.457,2.3,0.339,0.499,0.721,2.7,8.4,1.4,0.6,0.5,10.3
0.393,1.7,0.363,0.452,0.771,0.2,2,1.6,0.5,0.2,3.2
0.446,1.3,0.347,0.47,0.767,1.3,4.4,1,0.5,0.7,7.7
0.477,2.2,0.312,0.54,0.868,0.8,3.2,1.3,0.5,0.4,10.8
0.535,1.4,0.291,0.613,0.675,1.1,3.9,0.7,0.4,1,8.4
0.576,0.6,0.34,0.598,0.715,2.4,7.3,1.3,0.6,1.1,10.5
0.398,1.2,0.326,0.422,0.84,0.8,2.6,0.4,0.3,0.2,4.8
0.466,2.1,0.414,0.511,0.807,0.7,3.3,0.6,0.3,0.2,5.8
0.33,1.7,0.287,0.403,0.3,0.6,2.3,0.3,0.2,0.6,2.3
0.424,1.9,0.38,0.44,0.635,0.9,5.4,2.2,0.8,0.5,7.8
0.497,3.7,0.379,0.59,0.77,1.2,5.7,2.7,0.8,0.5,11.5
0.514,0,0,0.517,0.706,2.1,4.8,0.6,0.4,0.4,5.9
0.516,6.1,0.419,0.565,0.889,0.5,6.8,5.4,0.7,1.8,26.4
0.439,4.8,0.395,0.454,0.793,1.3,6.6,1.2,0.8,2.4,22.7
0.45,5.6,0.366,0.511,0.707,1.1,6.3,1.8,0.6,0.4,16.1
0.382,1.7,0.403,0.364,0.83,0.6,2.4,0.6,0.4,0.2,4.1
0.434,5.9,0.362,0.497,0.843,1.2,7.5,1.2,0.6,0.6,15.2
0.542,5,0.367,0.603,0.731,1.2,8.6,9.1,1.4,0.9,27.5
0.481,2.8,0.364,0.599,0.684,0.4,3,0.9,1.2,0.4,7.5
0.429,4.3,0.368,0.467,0.805,0.8,5.4,1.3,0.6,0.2,13.6
0.48,2.8,0.367,0.529,0.82,1,5.6,1.9,0.8,0.5,11.5
0.423,2.6,0.295,0.509,0.608,1.1,5.5,1.2,0.7,1,7.7
0.458,3.9,0.413,0.512,0.829,0.9,4.7,1.2,0.7,0.5,9.5
0.489,1.8,0.313,0.613,0.746,1,3.3,0.7,0.4,0.7,5.4
0.507,1.2,0.395,0.52,0.78,1.3,5.6,1.7,0.5,0.6,13.2
0.527,2.1,0.405,0.582,0.658,0.7,3.3,1.1,0.3,0.1,8.8
0.461,2.7,0.415,0.505,0.8,0.8,4.1,1.3,0.7,0.2,6.8
0.447,6.5,0.377,0.525,0.818,1.1,7.4,1.5,0.8,0.7,15.6
0.444,1.2,0.303,0.5,0.621,1.3,5.8,0.6,0.4,0.3,4.9
0.39,3.8,0.371,0.435,0.717,1.1,5.6,0.9,1,0.3,6.1
0.508,1.6,0.22,0.612,0.621,1,4.5,2,0.8,0.5,7.3
0.398,2.1,0.386,0.421,0.87,0.4,2.4,0.7,0.6,0.3,3.9
0.464,3,0.345,0.506,0.696,1.7,6.4,2.8,1,1.2,14.6
0.356,4.2,0.349,0.384,0.817,0.6,3.7,0.8,0.5,0.4,5.9
0.471,2.1,0.314,0.516,0.772,1.3,5.1,1.3,0.8,0.7,11.5
0.431,5.1,0.386,0.539,0.774,1.4,5,0.9,0.4,0.3,9.3
0.494,0.8,0.167,0.593,0.661,0.6,2.4,0.5,0.3,0.1,4.2
0.346,1.7,0.32,0.397,0.61,0.5,2.2,0.3,0.3,0.1,2.7
0.483,3.9,0.36,0.559,0.797,1,6.3,0.8,0.4,1.3,12.6
0.448,0.9,0.353,0.459,0.805,1.7,4.8,1.2,0.4,0.8,8.7
